measure,location,sex,year,val,upper,lower
incidence_per_1000_uninfected,SLE,SEX_MLE,2010,0.84,1.0,0.7
incidence_per_1000_uninfected,STP,SEX_FMLE,2017,,,
incidence_per_1000_uninfected,CMR,SEX_FMLE,2015,1.2,1.6,1.0
incidence_per_1000_uninfected,CPV,SEX_MLE,1999,0.53,0.67,0.45
incidence_per_1000_uninfected,SYC,SEX_FMLE,2016,,,
incidence_per_1000_uninfected,MOZ,SEX_BTSX,1991,3.7,4.5,3.0
incidence_per_1000_uninfected,SSD,SEX_FMLE,1990,1.4,2.2,0.65
incidence_per_1000_uninfected,BDI,SEX_BTSX,1999,1.4,1.8,1.2
incidence_per_1000_uninfected,NER,SEX_BTSX,2002,0.34,0.4,0.3
incidence_per_1000_uninfected,ZMB,SEX_MLE,2018,3.1,3.7,2.8
incidence_per_1000_uninfected,AGO,SEX_MLE,2005,0.99,1.2,0.85
incidence_per_1000_uninfected,GMB,SEX_MLE,2010,1.1,1.6,0.86
incidence_per_1000_uninfected,KEN,SEX_BTSX,2003,3.6,5.6,2.3
incidence_per_1000_uninfected,SWZ,SEX_MLE,2024,3.1,4.0,2.5
incidence_per_1000_uninfected,ZWE,SEX_BTSX,1990,32.2,36.6,28.8
incidence_per_1000_uninfected,GAB,SEX_FMLE,2002,4.0,5.0,3.1
incidence_per_1000_uninfected,GHA,SEX_MLE,1990,1.6,2.1,1.1
incidence_per_1000_uninfected,LBR,SEX_BTSX,2015,,,
incidence_per_1000_uninfected,GNQ,SEX_FMLE,2009,,,
incidence_per_1000_uninfected,UGA,SEX_FMLE,2012,3.2,3.7,2.9
incidence_per_1000_uninfected,NER,SEX_FMLE,2019,0.1,0.1,0.1
incidence_per_1000_uninfected,NGA,SEX_BTSX,2018,0.46,0.58,0.37
incidence_per_1000_uninfected,COM,SEX_FMLE,1996,0.1,0.1,0.1
incidence_per_1000_uninfected,BFA,SEX_MLE,2024,0.11,0.16,0.1
incidence_per_1000_uninfected,BFA,SEX_BTSX,2000,0.89,1.1,0.75
incidence_per_1000_uninfected,GNQ,SEX_MLE,2006,,,
incidence_per_1000_uninfected,BEN,SEX_FMLE,2008,0.57,0.71,0.47
incidence_per_1000_uninfected,GAB,SEX_FMLE,2006,3.1,4.0,2.5
incidence_per_1000_uninfected,BFA,SEX_BTSX,1992,2.1,2.8,1.7
incidence_per_1000_uninfected,STP,SEX_FMLE,2001,,,
incidence_per_1000_uninfected,COM,SEX_FMLE,2020,0.1,0.1,0.01
incidence_per_1000_uninfected,MUS,SEX_FMLE,1990,,,
incidence_per_1000_uninfected,MOZ,SEX_BTSX,2001,9.2,10.5,8.4
incidence_per_1000_uninfected,NER,SEX_FMLE,2008,0.14,0.18,0.12
incidence_per_1000_uninfected,COM,SEX_FMLE,2017,0.1,0.1,0.01
incidence_per_1000_uninfected,ZWE,SEX_MLE,2021,1.1,1.4,0.94
