country,metric,year,"98-98-99 treatment, 2024 prevention",95-95-95 treatment and prevention reaches 2030 target,"95-95-95 treatment, 2024 level of prevention",2024 level all HIV services,Historical trend,"2024 level treatment, reduced prevention"
Gambia,aids_deaths,2030,284.91707317073167,229.09658536585366,239.56292682926826,1202.4663414634147,1201.3034146341463,
Ghana,new_infections,2020,19286.8343,,,,,
Ghana,new_infections,2021,17739.41418,,,,,
Ghana,new_infections,2022,17249.02699,,,,,
Ghana,new_infections,2023,16537.10723,,,,,
Ghana,new_infections,2024,15290.14615,,,,,
Ghana,new_infections,2025,15109.981741484606,15105.168419064408,15109.981741484606,15109.981741484606,15109.981741484606,15109.981741484606
Ghana,new_infections,2026,14279.202291758484,9504.38645092237,13718.931562047472,15027.192595857205,15348.722533526412,
Ghana,new_infections,2027,12351.947994711327,5806.792167726499,10999.404394635774,14951.142101618081,15502.748850972737,
Ghana,new_infections,2028,10179.214254234086,3598.439841339797,8881.542529748787,14873.16627841088,15650.999181514826,
Ghana,new_infections,2029,7833.20090662973,2052.4006799722974,6729.987407920417,14791.339797267517,15810.80148586539,
Ghana,new_infections,2030,4637.154819618459,1563.3671220802114,5306.20663602594,14707.587987156077,15815.614808285587,
Ghana,aids_deaths,2020,15477.20264,,,,,
Ghana,aids_deaths,2021,14464.82031,,,,,
Ghana,aids_deaths,2022,13379.82178,,,,,
Ghana,aids_deaths,2023,12603.73438,,,,,
Ghana,aids_deaths,2024,12613.81396,,,,,
Ghana,aids_deaths,2025,12872.398398869791,12866.458205792323,12866.458205792323,12866.458205792323,12866.458205792323,12866.458205792323
Ghana,aids_deaths,2026,10410.188368259947,8983.551997488423,9086.515344164509,13121.886508123382,13125.846636841692,
Ghana,aids_deaths,2027,7451.972215681658,5735.256416293854,5898.611725924182,13351.573973785416,13349.593909426261,
Ghana,aids_deaths,2028,5370.924574209245,4304.659916804018,4478.905580409701,13492.158543285457,13475.327996232634,
Ghana,aids_deaths,2029,4074.9724511419827,3421.5512126206736,3627.4779059728435,13550.570441880544,13516.9093477749,
Ghana,aids_deaths,2030,3485.9033042932265,2728.5286869162546,2953.265991680402,13565.42092457421,13514.929283415744,
Guinea,new_infections,2020,6986.54184,,,,,
Guinea,new_infections,2021,6583.16347,,,,,
Guinea,new_infections,2022,6018.32447,,,,,
Guinea,new_infections,2023,5336.17513,,,,,
Guinea,new_infections,2024,4723.08599,,,,,
Guinea,new_infections,2025,4188.382638888889,4188.382638888889,4188.382638888889,4188.382638888889,4188.382638888889,4188.382638888889
Guinea,new_infections,2026,3748.8812500000004,3005.446064814815,3538.9701388888893,4064.841203703704,4140.278009259259,
Guinea,new_infections,2027,3139.9203703703706,2309.0222222222224,2888.464351851852,3968.631944444445,4083.4270833333335,
Guinea,new_infections,2028,2509.09375,1813.7631944444445,2362.593287037037,3865.862962962963,4016.7365740740743,
Guinea,new_infections,2029,1879.3604166666669,1379.7282407407408,1853.1215277777778,3766.373842592593,3952.232638888889,
