Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Guinea,5200 ,1900 , 9100,,6700 ,2700 , 11 000,,8300 ,3700 , 13 000,,10 000 ,5000 , 16 000,,12 000 ,6600 , 18 000,,15 000 ,8500 , 21 000,,17 000 ,11 000 , 23 000,,19 000 ,13 000 , 25 000,,22 000 ,16 000 , 28 000,,24 000 ,19 000 , 31 000,,26 000 ,21 000 , 32 000,,26 000 ,22 000 , 33 000,,28 000 ,23 000 , 34 000,,29 000 ,25 000 , 36 000,,30 000 ,25 000 , 37 000,,31 000 ,26 000 , 37 000,,32 000 ,27 000 , 38 000,,33 000 ,28 000 , 40 000,,35 000 ,30 000 , 41 000,,36 000 ,31 000 , 43 000,,37 000 ,32 000 , 44 000,,39 000 ,33 000 , 45 000,,40 000 ,34 000 , 47 000,,40 000 ,35 000 , 47 000,,41 000 ,35 000 , 48 000,,41 000 ,35 000 , 48 000,,41 000 ,36 000 , 48 000,,42 000 ,36 000 , 49 000,,42 000 ,36 000 , 49 000,,42 000 ,35 000 , 49 000,,42 000 ,35 000 , 49 000,,42 000 ,35 000 , 49 000,,42 000 ,35 000 , 49 000,,42 000 ,35 000 , 49 000,,42 000 ,35 000 , 50 000,
Guinea-Bissau,<500 ,<500 , 690,,650 ,<500 , 970,,930 ,600 , 1400,,1300 ,870 , 1900,,1900 ,1300 , 2600,,2600 ,1800 , 3500,,3700 ,2500 , 4600,,4900 ,3500 , 6100,,6400 ,4800 , 7700,,7900 ,6200 , 9400,,9400 ,7600 , 11 000,,11 000 ,8900 , 12 000,,11 000 ,9800 , 13 000,,12 000 ,10 000 , 14 000,,12 000 ,11 000 , 14 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 15 000,,13 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,,12 000 ,10 000 , 14 000,,12 000 ,10 000 , 14 000,,11 000 ,9600 , 13 000,,11 000 ,9400 , 13 000,,11 000 ,9200 , 13 000,,11 000 ,9100 , 13 000,,11 000 ,9000 , 12 000,,10 000 ,8800 , 12 000,
Guyana,<500 ,<200 , 940,,<500 ,<500 , 1000,,560 ,<500 , 1200,,680 ,<500 , 1300,,810 ,<500 , 1400,,930 ,540 , 1500,,1000 ,620 , 1600,,1200 ,720 , 1700,,1300 ,830 , 1900,,1400 ,940 , 2000,,1500 ,1100 , 2200,,1600 ,1200 , 2500,,1800 ,1300 , 2700,,2000 ,1500 , 3000,,2200 ,1600 , 3200,,2400 ,1800 , 3500,,2600 ,1900 , 3900,,2800 ,2100 , 4200,,3000 ,2200 , 4700,,3200 ,2400 , 5100,,3300 ,2400 , 5300,,3500 ,2500 , 5500,,3600 ,2500 , 5700,,3700 ,2600 , 5800,,3800 ,2700 , 5900,,3900 ,2700 , 6000,,4000 ,2800 , 6000,,4100 ,2900 , 6100,,4400 ,3200 , 6700,,4400 ,3200 , 6600,,4500 ,3300 , 6700,,4700 ,3500 , 6800,,4800 ,3600 , 6900,,4900 ,3700 , 6900,,5100 ,3800 , 7100,
Haiti,39 000 ,29 000 , 53 000,,43 000 ,33 000 , 57 000,,46 000 ,36 000 , 60 000,,49 000 ,38 000 , 62 000,,50 000 ,40 000 , 63 000,,51 000 ,42 000 , 63 000,,51 000 ,43 000 , 63 000,,51 000 ,43 000 , 63 000,,51 000 ,43 000 , 62 000,,50 000 ,43 000 , 61 000,,50 000 ,42 000 , 59 000,,49 000 ,42 000 , 58 000,,48 000 ,41 000 , 57 000,,47 000 ,41 000 , 56 000,,46 000 ,40 000 , 55 000,,46 000 ,40 000 , 54 000,,45 000 ,40 000 , 53 000,,45 000 ,40 000 , 52 000,,45 000 ,40 000 , 52 000,,45 000 ,40 000 , 52 000,,45 000 ,40 000 , 51 000,,45 000 ,40 000 , 51 000,,45 000 ,40 000 , 51 000,,45 000 ,40 000 , 51 000,,45 000 ,40 000 , 51 000,,45 000 ,40 000 , 52 000,,45 000 ,41 000 , 52 000,,46 000 ,41 000 , 53 000,,47 000 ,42 000 , 54 000,,48 000 ,43 000 , 55 000,,49 000 ,44 000 , 56 000,,50 000 ,45 000 , 58 000,,51 000 ,45 000 , 59 000,,52 000 ,46 000 , 60 000,,53 000 ,47 000 , 62 000,
Honduras,4900 ,3600 , 6700,,6100 ,4500 , 8100,,7300 ,5500 , 9600,,8600 ,6700 , 11 000,,9900 ,8000 , 13 000,,11 000 ,9100 , 14 000,,12 000 ,10 000 , 15 000,,13 000 ,11 000 , 16 000,,14 000 ,12 000 , 17 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 18 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,14 000 ,13 000 , 16 000,,14 000 ,12 000 , 16 000,,14 000 ,12 000 , 15 000,,13 000 ,12 000 , 15 000,,13 000 ,11 000 , 14 000,,12 000 ,11 000 , 13 000,,12 000 ,11 000 , 13 000,,11 000 ,10 000 , 13 000,,11 000 ,10 000 , 12 000,,11 000 ,9700 , 12 000,,11 000 ,9400 , 12 000,,10 000 ,9300 , 12 000,,10 000 ,9200 , 11 000,,10 000 ,9100 , 11 000,,10 000 ,9100 , 11 000,,10 000 ,9100 , 11 000,,10 000 ,9100 , 11 000,,10 000 ,9100 , 12 000,,10 000 ,9200 , 12 000,,10 000 ,9200 , 12 000,,11 000 ,9200 , 12 000,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Iceland,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication."
Indonesia,<500 ,<200 , <500,,<500 ,<500 , <500,,710 ,620 , 790,,1200 ,1100 , 1400,,2100 ,1800 , 2300,,3400 ,3000 , 3800,,5400 ,4700 , 6100,,8600 ,7500 , 9600,,13 000 ,12 000 , 15 000,,20 000 ,18 000 , 23 000,,33 000 ,29 000 , 37 000,,60 000 ,53 000 , 66 000,,91 000 ,82 000 , 100 000,,120 000 ,110 000 , 130 000,,150 000 ,130 000 , 160 000,,180 000 ,160 000 , 200 000,,200 000 ,180 000 , 230 000,,230 000 ,210 000 , 250 000,,250 000 ,230 000 , 270 000,,270 000 ,240 000 , 300 000,,290 000 ,260 000 , 320 000,,300 000 ,280 000 , 330 000,,320 000 ,290 000 , 350 000,,330 000 ,300 000 , 360 000,,340 000 ,310 000 , 370 000,,350 000 ,310 000 , 380 000,,350 000 ,320 000 , 380 000,,360 000 ,320 000 , 390 000,,360 000 ,330 000 , 390 000,,360 000 ,330 000 , 400 000,,360 000 ,330 000 , 400 000,,370 000 ,330 000 , 400 000,,370 000 ,330 000 , 400 000,,370 000 ,330 000 , 410 000,,370 000 ,330 000 , 410 000,
Iran (Islamic Republic of),... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,30 000 ,24 000 , 40 000,
Iraq,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",<500 ,<500 , 550,"Children estimates were not available at the time of publication.",<500 ,<500 , 610,"Children estimates were not available at the time of publication.",520 ,<500 , 670,"Children estimates were not available at the time of publication.",560 ,<500 , 720,"Children estimates were not available at the time of publication.",600 ,<500 , 780,"Children estimates were not available at the time of publication.",630 ,<500 , 820,"Children estimates were not available at the time of publication.",670 ,520 , 870,"Children estimates were not available at the time of publication.",690 ,550 , 890,"Children estimates were not available at the time of publication.",710 ,580 , 900,"Children estimates were not available at the time of publication.",730 ,600 , 910,"Children estimates were not available at the time of publication.",760 ,630 , 950,"Children estimates were not available at the time of publication.",810 ,670 , 1000,"Children estimates were not available at the time of publication.",890 ,720 , 1100,"Children estimates were not available at the time of publication.",1000 ,790 , 1300,"Children estimates were not available at the time of publication.",1200 ,900 , 1500,"Children estimates were not available at the time of publication.",1400 ,1100 , 1900,"Children estimates were not available at the time of publication.",1800 ,1300 , 2400,"Children estimates were not available at the time of publication.",2200 ,1700 , 3000,"Children estimates were not available at the time of publication.",2800 ,2000 , 3700,"Children estimates were not available at the time of publication."
Ireland,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 570,,550 ,<500 , 660,,630 ,530 , 740,,720 ,600 , 830,,820 ,680 , 940,,930 ,780 , 1100,,1100 ,890 , 1200,,1200 ,1000 , 1400,,1400 ,1100 , 1500,,1500 ,1300 , 1700,,1700 ,1400 , 1900,,1800 ,1500 , 2100,,2000 ,1700 , 2300,,2200 ,1900 , 2500,,2500 ,2100 , 2700,,2700 ,2300 , 2900,,2800 ,2400 , 3100,,3000 ,2500 , 3300,,3200 ,2700 , 3500,,3300 ,2800 , 3700,,3500 ,3000 , 3900,,3700 ,3100 , 4100,,3900 ,3300 , 4300,,4100 ,3400 , 4500,,4300 ,3600 , 4800,,4500 ,3800 , 5000,,4700 ,3900 , 5200,,4800 ,4000 , 5400,,5000 ,4200 , 5600,,5100 ,4300 , 5800,,5400 ,4500 , 6200,,5800 ,4900 , 6700,,6100 ,5200 , 7000,
Israel,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Italy,35 000 ,27 000 , 41 000,,36 000 ,29 000 , 42 000,,37 000 ,30 000 , 43 000,,38 000 ,31 000 , 44 000,,39 000 ,31 000 , 45 000,,39 000 ,32 000 , 45 000,,40 000 ,32 000 , 46 000,,41 000 ,33 000 , 46 000,,42 000 ,35 000 , 48 000,,44 000 ,36 000 , 50 000,,47 000 ,38 000 , 53 000,,49 000 ,41 000 , 56 000,,52 000 ,43 000 , 59 000,,56 000 ,46 000 , 63 000,,59 000 ,49 000 , 67 000,,62 000 ,51 000 , 70 000,,65 000 ,53 000 , 74 000,,68 000 ,56 000 , 77 000,,72 000 ,59 000 , 81 000,,75 000 ,61 000 , 85 000,,78 000 ,63 000 , 89 000,,81 000 ,66 000 , 93 000,,84 000 ,68 000 , 96 000,,87 000 ,71 000 , 100 000,,90 000 ,73 000 , 100 000,,92 000 ,75 000 , 110 000,,95 000 ,77 000 , 110 000,,97 000 ,78 000 , 110 000,,100 000 ,80 000 , 110 000,,100 000 ,82 000 , 120 000,,110 000 ,84 000 , 120 000,,110 000 ,86 000 , 120 000,,110 000 ,88 000 , 130 000,,110 000 ,90 000 , 130 000,,110 000 ,91 000 , 130 000,
Jamaica,3700 ,2400 , 5500,,5300 ,3600 , 7400,,7000 ,5100 , 9600,,8800 ,6600 , 12 000,,10 000 ,8300 , 13 000,,12 000 ,9600 , 15 000,,13 000 ,11 000 , 16 000,,15 000 ,12 000 , 17 000,,15 000 ,13 000 , 18 000,,16 000 ,14 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 19 000,,17 000 ,15 000 , 18 000,,16 000 ,15 000 , 18 000,,16 000 ,15 000 , 18 000,,16 000 ,15 000 , 18 000,,16 000 ,15 000 , 18 000,,16 000 ,15 000 , 18 000,,16 000 ,15 000 , 17 000,,16 000 ,15 000 , 17 000,,16 000 ,14 000 , 17 000,,15 000 ,14 000 , 17 000,,15 000 ,14 000 , 17 000,,15 000 ,14 000 , 17 000,,15 000 ,14 000 , 17 000,,15 000 ,14 000 , 16 000,,15 000 ,14 000 , 16 000,,15 000 ,13 000 , 16 000,,15 000 ,13 000 , 16 000,,14 000 ,13 000 , 16 000,,14 000 ,13 000 , 16 000,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
